,EMA,average_return
0,The 2 ema,0.10760042345100307
1,The 3 ema,0.03471190031630278
2,The 4 ema,0.005419957067329895
3,The 5 ema,-0.03169876031276708
4,The 6 ema,0.022738391517830747
5,The 7 ema,-0.00799892348774589
6,The 8 ema,0.05543287712701628
7,The 9 ema,0.08901298959415227
8,The 10 ema,0.14242263895406237
9,The 11 ema,0.18641926699182698
10,The 12 ema,0.07103834446210855
11,The 13 ema,0.15499335264318193
12,The 14 ema,0.10621293222700068
13,The 15 ema,0.13551207460597126
14,The 16 ema,0.12226177013328243
15,The 17 ema,-0.0224625571974576
16,The 18 ema,-0.06066390437148028
17,The 19 ema,0.01190012045188138
18,The 20 ema,-0.03470409389989415
19,The 21 ema,0.12455881100596145
20,The 22 ema,0.036749769099504004
21,The 23 ema,0.18544364729631746
22,The 24 ema,0.12841789471255383
23,The 25 ema,0.05861657725429703
24,The 26 ema,-0.09597387741510977
25,The 27 ema,0.06959614420667215
26,The 28 ema,0.08900901435904895
27,The 29 ema,-0.060486863544358505
28,The 30 ema,0.17825871342905453
29,The 31 ema,0.056130902640212366
30,The 32 ema,-0.02573709216205211
31,The 33 ema,0.03312553751715175
32,The 34 ema,0.07741919628779859
33,The 35 ema,0.005487477488470116
34,The 36 ema,0.14807475543548954
35,The 37 ema,0.08257347901467949
36,The 38 ema,0.08759688106471164
37,The 39 ema,0.01678824837938886
38,The 40 ema,0.157326019405007
39,The 41 ema,0.09986575297327138
40,The 42 ema,0.12880368310342094
41,The 43 ema,0.14159183859904334
42,The 44 ema,0.07059822930246584
43,The 45 ema,0.11854152383150485
44,The 46 ema,0.09090491180409566
45,The 47 ema,0.09074409649554815
46,The 48 ema,0.09403797146226456
47,The 49 ema,0.04920097804323986
48,The 50 ema,0.03051348517993957
49,The 51 ema,0.04043442393499075
50,The 52 ema,-0.02799225298093644
51,The 53 ema,-0.05036412150108471
52,The 54 ema,-0.03970929735630624
53,The 55 ema,-0.025839516432197063
54,The 56 ema,-0.026889229921323254
55,The 57 ema,-0.016324748889730234
56,The 58 ema,-0.022676738934632845
57,The 59 ema,-0.016218516105501513
58,The 60 ema,-0.05103042178276851
59,The 61 ema,-0.009450364284108614
60,The 62 ema,-0.04040929425785578
61,The 63 ema,-0.05448585227653624
62,The 64 ema,0.0029477832247866154
63,The 65 ema,-0.05420037597344629
64,The 66 ema,-0.07332054196631443
65,The 67 ema,-0.06889503936251173
66,The 68 ema,-0.030159180267249397
67,The 69 ema,0.003329066640203049
68,The 70 ema,-0.01728500061538374
69,The 71 ema,0.03488532711013592
70,The 72 ema,-0.0011634022226604257
71,The 73 ema,0.016781579445722006
72,The 74 ema,0.0007753623945854216
73,The 75 ema,0.013046561513134769
74,The 76 ema,-0.011094601162523143
75,The 77 ema,0.007197524369227493
76,The 78 ema,0.014542316895607144
77,The 79 ema,0.01634351133283518
78,The 80 ema,0.028229885636523067
79,The 81 ema,0.033368422643935025
80,The 82 ema,0.01183030899974824
81,The 83 ema,0.020045128254050137
82,The 84 ema,0.018223600858078726
83,The 85 ema,0.015122076200368095
84,The 86 ema,0.02435282615172052
85,The 87 ema,0.017215255890461467
86,The 88 ema,0.014320419622628311
87,The 89 ema,0.012026349140223935
88,The 90 ema,0.014910393992857207
89,The 91 ema,0.02603463961644148
90,The 92 ema,0.014691205623033055
91,The 93 ema,0.018872752413203964
92,The 94 ema,0.0610971660799835
93,The 95 ema,0.02583978092253525
94,The 96 ema,0.027904502488691918
95,The 97 ema,0.031258562221713415
96,The 98 ema,0.035025507224194286
97,The 99 ema,0.023707693115503803
98,The 100 ema,0.03068302589043026
99,The 101 ema,0.030683025890430038
100,The 102 ema,0.033067375407571875
101,The 103 ema,0.03503154887163995
102,The 104 ema,0.033187396749765785
103,The 105 ema,0.025396996268375327
104,The 106 ema,0.02232894403199137
105,The 107 ema,0.02843644947219648
106,The 108 ema,0.03019458400973063
107,The 109 ema,0.030194584009730407
108,The 110 ema,0.03890913269917862
109,The 111 ema,0.03890913269917862
110,The 112 ema,0.03821948580570678
111,The 113 ema,0.023550495158318085
112,The 114 ema,0.009326098059036392
113,The 115 ema,0.009326098059036392
114,The 116 ema,0.009326098059036392
115,The 117 ema,0.009326098059036392
116,The 118 ema,0.009326098059036392
117,The 119 ema,0.009326098059036392
118,The 120 ema,0.006295613516907661
119,The 121 ema,0.0008932466111672976
120,The 122 ema,-0.010677115166334072
121,The 123 ema,-0.010677115166334072
122,The 124 ema,-0.0033962049832118035
123,The 125 ema,-0.0033962049832118035
124,The 126 ema,-0.0033962049832118035
125,The 127 ema,-0.006993868806982606
126,The 128 ema,-0.006993868806982495
127,The 129 ema,0.0
128,The 130 ema,0.0
129,The 131 ema,0.0
130,The 132 ema,0.0
131,The 133 ema,0.0
132,The 134 ema,0.0
133,The 135 ema,0.0
134,The 136 ema,0.0
135,The 137 ema,0.0
136,The 138 ema,0.0
137,The 139 ema,0.0
138,The 140 ema,0.0
139,The 141 ema,0.0
140,The 142 ema,0.0
141,The 143 ema,0.0
142,The 144 ema,0.0
143,The 145 ema,0.0
144,The 146 ema,0.0
145,The 147 ema,0.0
146,The 148 ema,0.0
147,The 149 ema,0.0
148,The 150 ema,0.0
149,The 151 ema,0.0
150,The 152 ema,0.0
151,The 153 ema,0.0
152,The 154 ema,0.0
153,The 155 ema,0.0
154,The 156 ema,-0.000831916629351559
155,The 157 ema,0.0051630679850738215
156,The 158 ema,0.005088452897943796
157,The 159 ema,0.0
158,The 160 ema,0.0015897289621717992
159,The 161 ema,0.004326856113606725
160,The 162 ema,0.00425230310000857
161,The 163 ema,0.004367807465164297
162,The 164 ema,0.006802055429741882
163,The 165 ema,0.05140223268639721
164,The 166 ema,0.05140223268639721
165,The 167 ema,0.055223179476493245
166,The 168 ema,0.051678024631281794
167,The 169 ema,0.059083296729515844
168,The 170 ema,0.05934898275267386
169,The 171 ema,0.0673868205868915
170,The 172 ema,0.07218750563446297
171,The 173 ema,0.07218750563446297
172,The 174 ema,0.07218750563446297
173,The 175 ema,0.06715160899125894
174,The 176 ema,0.07354171218972949
175,The 177 ema,0.05917474764723574
176,The 178 ema,0.06124941305377596
177,The 179 ema,0.06124941305377618
178,The 180 ema,0.06069237486254009
179,The 181 ema,0.06069237486254031
180,The 182 ema,0.065584153356538
181,The 183 ema,0.05854921312766059
182,The 184 ema,0.06777699595545417
183,The 185 ema,0.06920835485731458
184,The 186 ema,0.07187269237783322
185,The 187 ema,0.07223716658877688
186,The 188 ema,0.07381666140761611
187,The 189 ema,0.0727236541702696
188,The 190 ema,0.07740258484580242
189,The 191 ema,0.08470576852041489
190,The 192 ema,0.08470576852041489
191,The 193 ema,0.08470576852041489
192,The 194 ema,0.08470576852041489
193,The 195 ema,0.08470576852041489
194,The 196 ema,0.08470576852041489
195,The 197 ema,0.08034915951166366
196,The 198 ema,0.08034915951166366
197,The 199 ema,0.08034915951166366
198,The 200 ema,0.08055728911135751
199,The 201 ema,0.08077219971380556
200,The 202 ema,0.080419537613724
201,The 203 ema,0.08641173324461082
202,The 204 ema,0.08641173324461082
203,The 205 ema,0.09045409429006512
204,The 206 ema,0.10385158794828442
205,The 207 ema,0.10909790431095945
206,The 208 ema,0.10007719076481791
207,The 209 ema,0.10494714622110601
208,The 210 ema,0.10159944729678205
209,The 211 ema,0.11657717320438099
210,The 212 ema,0.1252970465640475
211,The 213 ema,0.13648516342284278
212,The 214 ema,0.17157566768805355
213,The 215 ema,0.16171290390897197
214,The 216 ema,0.19599415378505447
215,The 217 ema,0.1959941537850547
216,The 218 ema,0.19576378952119589
217,The 219 ema,0.19552601294213523
218,The 220 ema,0.20606939209821373
219,The 221 ema,0.1552301221781176
220,The 222 ema,0.1994172145482771
221,The 223 ema,0.15094763356270402
222,The 224 ema,0.18491120863162713
223,The 225 ema,0.1849112086316269
224,The 226 ema,0.19480401720012774
225,The 227 ema,0.20445080809436122
226,The 228 ema,0.20445080809436122
227,The 229 ema,0.20144762795688465
228,The 230 ema,0.19213766735933002
229,The 231 ema,0.17619641912670891
230,The 232 ema,0.1373677095630832
231,The 233 ema,0.15476809430561578
232,The 234 ema,0.12584206897041716
233,The 235 ema,0.1188699865367151
234,The 236 ema,0.11082054273620545
235,The 237 ema,0.10478036274169145
236,The 238 ema,0.1119362635871215
237,The 239 ema,0.11734571942432681
238,The 240 ema,0.10998861289200002
239,The 241 ema,0.12312827175109198
240,The 242 ema,0.10098329836773634
241,The 243 ema,0.09475431785895472
242,The 244 ema,0.11038846172564076
243,The 245 ema,0.0974852834721196
244,The 246 ema,0.11626520512053462
245,The 247 ema,0.11549226595085593
246,The 248 ema,0.11349538000584869
247,The 249 ema,0.12751604295861885
248,The 250 ema,0.12792426056711315
249,The 251 ema,0.12809864793679826
250,The 252 ema,0.1400151429743508
251,The 253 ema,0.1435869401115668
252,The 254 ema,0.14789660320226217
253,The 255 ema,0.1395999004435391
254,The 256 ema,0.130072610248674
255,The 257 ema,0.15855920311388427
256,The 258 ema,0.16760378381543362
257,The 259 ema,0.1340403975650153
258,The 260 ema,0.16221914366156098
259,The 261 ema,0.14547928276271316
260,The 262 ema,0.13682393590322928
261,The 263 ema,0.09003206530312013
262,The 264 ema,0.1072485361064166
263,The 265 ema,0.08277251526708729
264,The 266 ema,0.0764272798924246
265,The 267 ema,0.0692083548573148
266,The 268 ema,0.07187269237783322
267,The 269 ema,0.07223716658877688
268,The 270 ema,0.07381666140761611
269,The 271 ema,0.07272365417026982
270,The 272 ema,0.07740258484580242
271,The 273 ema,0.07740258484580242
272,The 274 ema,0.08470576852041489
273,The 275 ema,0.08470576852041489
274,The 276 ema,0.08470576852041511
275,The 277 ema,0.08470576852041489
276,The 278 ema,0.08034915951166366
277,The 279 ema,0.08470576852041489
278,The 280 ema,0.08034915951166366
279,The 281 ema,0.08034915951166366
280,The 282 ema,0.08034915951166366
281,The 283 ema,0.08034915951166366
282,The 284 ema,0.08034915951166366
283,The 285 ema,0.06841517008980458
284,The 286 ema,0.07272365417026982
285,The 287 ema,0.0727236541702696
286,The 288 ema,0.07272365417026982
287,The 289 ema,0.0727236541702696
288,The 290 ema,0.07740258484580242
289,The 291 ema,0.08470576852041489
290,The 292 ema,0.08034915951166366
291,The 293 ema,0.08034915951166366
292,The 294 ema,0.08034915951166388
293,The 295 ema,0.08034915951166366
294,The 296 ema,0.08034915951166388
295,The 297 ema,0.08034915951166366
296,The 298 ema,0.08034915951166366
297,The 299 ema,0.08034915951166366
298,The 300 ema,0.08034915951166366
