,,average_return
0,The 2 sma,0.768896459076817
1,The 3 sma,0.8935033669908921
2,The 4 sma,0.9486687660639503
3,The 5 sma,1.0233687480843336
4,The 6 sma,0.9156711856751563
5,The 7 sma,0.9750285695282326
6,The 8 sma,0.8563288197423464
7,The 9 sma,0.7990882439745919
8,The 10 sma,0.7149786780383007
9,The 11 sma,0.6513811951841473
10,The 12 sma,0.829281348557525
11,The 13 sma,0.6963131975009198
12,The 14 sma,0.7711151352842973
13,The 15 sma,0.7254157933937659
14,The 16 sma,0.7457874082993861
15,The 17 sma,1.0042510714448585
16,The 18 sma,1.0857608647557848
17,The 19 sma,0.9361895779195435
18,The 20 sma,1.0296682651747227
19,The 21 sma,0.7422214364777024
20,The 22 sma,0.8897814357038198
21,The 23 sma,0.6527402813140457
22,The 24 sma,0.7362632020414261
23,The 25 sma,0.850746067283457
24,The 26 sma,1.1672277140758038
25,The 27 sma,0.8317478776698859
26,The 28 sma,0.7990948112285337
27,The 29 sma,1.085367826261327
28,The 30 sma,0.6628185684386481
29,The 31 sma,0.8551019217566695
30,The 32 sma,1.010987436093942
31,The 33 sma,0.8964108387282383
32,The 34 sma,0.8184477071365599
33,The 35 sma,0.948537909202287
34,The 36 sma,0.7065356222132808
35,The 37 sma,0.8097898249804591
36,The 38 sma,0.801430751802505
37,The 39 sma,0.9268815018635288
38,The 40 sma,0.6928941666080615
39,The 41 sma,0.7813360056152936
40,The 42 sma,0.7356698037412039
41,The 43 sma,0.7162267641286071
42,The 44 sma,0.8300333528395387
43,The 45 sma,0.7515938616236832
44,The 46 sma,0.7959681415994042
45,The 47 sma,0.7962329325542763
46,The 48 sma,0.7908249240159408
47,The 49 sma,0.8673547853228554
48,The 50 sma,0.9012176893273356
49,The 51 sma,0.8830888540812858
50,The 52 sma,1.0156531397234216
51,The 53 sma,1.0631386318421434
52,The 54 sma,1.0402472519213979
53,The 55 sma,1.0111988734534822
54,The 56 sma,1.0133683927432622
55,The 57 sma,0.99174520747888
56,The 58 sma,1.0046903058244352
57,The 59 sma,0.9915301306123927
58,The 60 sma,1.0645872239604817
59,The 61 sma,0.9779225557924582
60,The 62 sma,1.0417355601617682
61,The 63 sma,1.0721323650542391
62,The 64 sma,0.95347205496076
63,The 65 sma,1.0715069210679422
64,The 66 sma,1.1142482981890436
65,The 67 sma,1.1041993652069717
66,The 68 sma,1.0201567383545997
67,The 69 sma,0.9527296998134813
68,The 70 sma,0.993691424615833
69,The 71 sma,0.8931860523962729
70,The 72 sma,0.9615124951110521
71,The 73 sma,0.9268941400202184
72,The 74 sma,0.957712530438954
73,The 75 sma,0.9339984375328845
74,The 76 sma,0.9812112153676851
75,The 77 sma,0.945229629452734
76,The 78 sma,0.9311471138133534
77,The 79 sma,0.927724677009178
78,The 80 sma,0.9054401107021013
79,The 81 sma,0.8959651022639676
80,The 82 sma,0.9363231657403837
81,The 83 sma,0.9207292038813619
82,The 84 sma,0.9241652476561919
83,The 85 sma,0.930044191776344
84,The 86 sma,0.912651985815164
85,The 87 sma,0.926072633858968
86,The 88 sma,0.931569580195758
87,The 89 sma,0.9359480795919461
88,The 90 sma,0.9304467455559953
89,The 91 sma,0.9095168832183647
90,The 92 sma,0.9308637507225386
91,The 93 sma,0.9229393096184184
92,The 94 sma,0.8464194700966534
93,The 95 sma,0.9098795967461251
94,The 96 sma,0.9060432777275604
95,The 97 sma,0.8998440729486454
96,The 98 sma,0.8929296461194165
97,The 99 sma,0.9138573249868172
98,The 100 sma,0.9009049512791198
99,The 101 sma,0.9009049512791207
100,The 102 sma,0.8965176074227452
101,The 103 sma,0.8929185967812843
102,The 104 sma,0.8962972963838642
103,The 105 sma,0.9107043167129383
104,The 106 sma,0.9164384208740111
105,The 107 sma,0.9050573986559507
106,The 108 sma,0.9018062194510226
107,The 109 sma,0.901806219451021
108,The 110 sma,0.885853541420131
109,The 111 sma,0.885853541420131
110,The 112 sma,0.887106237072798
111,The 113 sma,0.9141512571994994
112,The 114 sma,0.9411273233518112
113,The 115 sma,0.9411273233518103
114,The 116 sma,0.9411273233518094
115,The 117 sma,0.9411273233518096
116,The 118 sma,0.9411273233518098
117,The 119 sma,0.94112732335181
118,The 120 sma,0.9469730770932598
119,The 121 sma,0.9574819529935303
120,The 122 sma,0.9803751607786448
121,The 123 sma,0.9803751607786437
122,The 124 sma,0.9659070905719958
123,The 125 sma,0.9659070905719971
124,The 126 sma,0.9659070905719958
125,The 127 sma,0.9730295771292017
126,The 128 sma,0.973029577129201
127,The 129 sma,0.9592304671144645
128,The 130 sma,0.959230467114464
129,The 131 sma,0.9592304671144647
130,The 132 sma,0.959230467114464
131,The 133 sma,0.9592304671144649
132,The 134 sma,0.9592304671144642
133,The 135 sma,0.9592304671144649
134,The 136 sma,0.9592304671144645
135,The 137 sma,0.9592304671144647
136,The 138 sma,0.9592304671144638
137,The 139 sma,0.9592304671144634
138,The 140 sma,0.959230467114464
139,The 141 sma,0.9592304671144654
140,The 142 sma,0.9592304671144642
141,The 143 sma,0.959230467114464
142,The 144 sma,0.9592304671144649
143,The 145 sma,0.9592304671144634
144,The 146 sma,0.9592304671144636
145,The 147 sma,0.9592304671144631
146,The 148 sma,0.9592304671144638
147,The 149 sma,0.9592304671144654
148,The 150 sma,0.9592304671144651
149,The 151 sma,0.9592304671144642
150,The 152 sma,0.9592304671144631
151,The 153 sma,0.9592304671144658
152,The 154 sma,0.9592304671144654
153,The 155 sma,0.9592304671144651
154,The 156 sma,0.9608617406043323
155,The 157 sma,0.9491667864816116
156,The 158 sma,0.9493114874272701
157,The 159 sma,0.9592304671144634
158,The 160 sma,0.956120765280392
159,The 161 sma,0.9507896808574854
160,The 162 sma,0.9509345022824942
161,The 163 sma,0.9507101407991099
162,The 164 sma,0.9459937100328912
163,The 165 sma,0.8634452222043594
164,The 166 sma,0.8634452222043594
165,The 167 sma,0.8566977159149005
166,The 168 sma,0.8629565525069998
167,The 169 sma,0.8499304758791231
168,The 170 sma,0.8494665110485928
169,The 171 sma,0.8355393090175138
170,The 172 sma,0.8273207408391652
171,The 173 sma,0.8273207408391652
172,The 174 sma,0.8273207408391652
173,The 175 sma,0.8359438814569708
174,The 176 sma,0.8250156886015849
175,The 177 sma,0.8497707497903804
176,The 178 sma,0.846154582528081
177,The 179 sma,0.846154582528081
178,The 180 sma,0.8471241177427804
179,The 181 sma,0.8471241177427804
180,The 182 sma,0.8386445227652679
181,The 183 sma,0.8508638453620769
182,The 184 sma,0.8348685863580827
183,The 185 sma,0.8324122311744588
184,The 186 sma,0.827857432180797
185,The 187 sma,0.8272361079849286
186,The 188 sma,0.8245483959488953
187,The 189 sma,0.8264074437977134
188,The 190 sma,0.8184757440459158
189,The 191 sma,0.8062321820109237
190,The 192 sma,0.8062321820109237
191,The 193 sma,0.8062321820109237
192,The 194 sma,0.8062321820109237
193,The 195 sma,0.8062321820109237
194,The 196 sma,0.8062321820109237
195,The 197 sma,0.8135159821849343
196,The 198 sma,0.8135159821849343
197,The 199 sma,0.8135159821849343
198,The 200 sma,0.813166675064235
199,The 201 sma,0.8128061284637766
200,The 202 sma,0.8133978504699506
201,The 203 sma,0.8033959015364702
202,The 204 sma,0.8033959015364702
203,The 205 sma,0.796710634013448
204,The 206 sma,0.7749038806530701
205,The 207 sma,0.7665081319684395
206,The 208 sma,0.7809936280492533
207,The 209 sma,0.7731440583515572
208,The 210 sma,0.778532543677491
209,The 211 sma,0.7546753723182584
210,The 212 sma,0.7410784762092177
211,The 213 sma,0.7239384465114302
212,The 214 sma,0.6723038222368849
213,The 215 sma,0.6865014243381273
214,The 216 sma,0.6381605720345171
215,The 217 sma,0.6381605720345171
216,The 218 sma,0.6384761641753451
217,The 219 sma,0.6388020385210071
218,The 220 sma,0.6244757390832767
219,The 221 sma,0.6959655305909551
220,The 222 sma,0.6334853655175745
221,The 223 sma,0.702275941998993
222,The 224 sma,0.6534829385039294
223,The 225 sma,0.6534829385039294
224,The 226 sma,0.6397923332277307
225,The 227 sma,0.6266587675874367
226,The 228 sma,0.6266587675874367
227,The 229 sma,0.6307248202289286
228,The 230 sma,0.6434599130269067
229,The 231 sma,0.6657340859523564
230,The 232 sma,0.7226007478857457
231,The 233 sma,0.696644093975066
232,The 234 sma,0.740235616622658
233,The 235 sma,0.7510796524080074
234,The 236 sma,0.7637686662585754
235,The 237 sma,0.7734117415450037
236,The 238 sma,0.761998894427599
237,The 239 sma,0.7534684503234044
238,The 240 sma,0.7650906003529379
239,The 241 sma,0.7444405206359799
240,The 242 sma,0.7795278729651232
241,The 243 sma,0.7896531076910416
242,The 244 sma,0.7644549944887293
243,The 245 sma,0.7851997622383027
244,The 246 sma,0.7551657600067412
245,The 247 sma,0.7563819373004785
246,The 248 sma,0.7595317432786965
247,The 249 sma,0.7376519645551238
248,The 250 sma,0.7370230746959681
249,The 251 sma,0.7367545566141216
250,The 252 sma,0.71860038806392
251,The 253 sma,0.7132326353108966
252,The 254 sma,0.7068004745800629
253,The 255 sma,0.7192266043125481
254,The 256 sma,0.7337208683283922
255,The 257 sma,0.6910922306331839
256,The 258 sma,0.6779925641489408
257,The 259 sma,0.7276549153992029
258,The 260 sma,0.6857668175572518
259,The 261 sma,0.7104023587306723
260,The 262 sma,0.7234247144504535
261,The 263 sma,0.797406268566635
262,The 264 sma,0.7694586203780396
263,The 265 sma,0.8094571477289312
264,The 266 sma,0.8201233875364671
265,The 267 sma,0.8324122311744588
266,The 268 sma,0.827857432180797
267,The 269 sma,0.8272361079849286
268,The 270 sma,0.8245483959488953
269,The 271 sma,0.8264074437977134
270,The 272 sma,0.8184757440459158
271,The 273 sma,0.8184757440459158
272,The 274 sma,0.8062321820109237
273,The 275 sma,0.8062321820109237
274,The 276 sma,0.8062321820109237
275,The 277 sma,0.8062321820109237
276,The 278 sma,0.8135159821849343
277,The 279 sma,0.8062321820109237
278,The 280 sma,0.8135159821849343
279,The 281 sma,0.8135159821849343
280,The 282 sma,0.8135159821849343
281,The 283 sma,0.8135159821849343
282,The 284 sma,0.8135159821849343
283,The 285 sma,0.8337726026014618
284,The 286 sma,0.8264074437977134
285,The 287 sma,0.8264074437977134
286,The 288 sma,0.8264074437977134
287,The 289 sma,0.8264074437977134
288,The 290 sma,0.8184757440459158
289,The 291 sma,0.8062321820109237
290,The 292 sma,0.8135159821849343
291,The 293 sma,0.8135159821849343
292,The 294 sma,0.8135159821849343
293,The 295 sma,0.8135159821849343
294,The 296 sma,0.8135159821849343
295,The 297 sma,0.8135159821849343
296,The 298 sma,0.8135159821849343
297,The 299 sma,0.8135159821849343
298,The 300 sma,0.8135159821849343
