,SMA,average_return
0,The 2 sma,0.1032266648282163
1,The 3 sma,0.10322666482821674
2,The 4 sma,0.10322666482821652
3,The 5 sma,0.10322666482821585
4,The 6 sma,0.1032266648282163
5,The 7 sma,0.10322666482821652
6,The 8 sma,0.10322666482821674
7,The 9 sma,0.10322666482821607
8,The 10 sma,0.10322666482821607
9,The 11 sma,0.10322666482821652
10,The 12 sma,0.10322666482821607
11,The 13 sma,0.10322666482821652
12,The 14 sma,0.10322666482821652
13,The 15 sma,0.10322666482821607
14,The 16 sma,0.10322666482821652
15,The 17 sma,0.10322666482821585
16,The 18 sma,0.1032266648282163
17,The 19 sma,0.10322666482821652
18,The 20 sma,0.1032266648282163
19,The 21 sma,0.10322666482821674
20,The 22 sma,0.1032266648282163
21,The 23 sma,0.1032266648282163
22,The 24 sma,0.10322666482821607
23,The 25 sma,0.10322666482821585
24,The 26 sma,0.1032266648282163
25,The 27 sma,0.10322666482821585
26,The 28 sma,0.1032266648282163
27,The 29 sma,0.1032266648282163
28,The 30 sma,0.10322666482821674
29,The 31 sma,0.10322666482821652
30,The 32 sma,0.1032266648282163
31,The 33 sma,0.10322666482821674
32,The 34 sma,0.1032266648282163
33,The 35 sma,0.10322666482821607
34,The 36 sma,0.10322666482821674
35,The 37 sma,0.1032266648282163
36,The 38 sma,0.10322666482821674
37,The 39 sma,0.10322666482821696
38,The 40 sma,0.10322666482821563
39,The 41 sma,0.1032266648282163
40,The 42 sma,0.10322666482821652
41,The 43 sma,0.10322666482821652
42,The 44 sma,0.10322666482821607
43,The 45 sma,0.1032266648282163
44,The 46 sma,0.10322666482821585
45,The 47 sma,0.10322666482821607
46,The 48 sma,0.10322666482821674
47,The 49 sma,0.10322666482821674
48,The 50 sma,0.10322666482821696
49,The 51 sma,0.10322666482821563
50,The 52 sma,0.1032266648282163
51,The 53 sma,0.10322666482821652
52,The 54 sma,0.10322666482821607
53,The 55 sma,0.10322666482821652
54,The 56 sma,0.1032266648282163
55,The 57 sma,0.10322666482821652
56,The 58 sma,0.1032266648282163
57,The 59 sma,0.1032266648282163
58,The 60 sma,0.1032266648282163
59,The 61 sma,0.10322666482821696
60,The 62 sma,0.10322666482821696
61,The 63 sma,0.10322666482821674
62,The 64 sma,0.1032266648282163
63,The 65 sma,0.1032266648282163
64,The 66 sma,0.10322666482821696
65,The 67 sma,0.1032266648282163
66,The 68 sma,0.1032266648282163
67,The 69 sma,0.10322666482821674
68,The 70 sma,0.10322666482821607
69,The 71 sma,0.10322666482821652
70,The 72 sma,0.1032266648282163
71,The 73 sma,0.10322666482821674
72,The 74 sma,0.1032266648282163
73,The 75 sma,0.10322666482821674
74,The 76 sma,0.10322666482821652
75,The 77 sma,0.10322666482821607
76,The 78 sma,0.10322666482821674
77,The 79 sma,0.10322666482821674
78,The 80 sma,0.10322666482821652
79,The 81 sma,0.10322666482821674
80,The 82 sma,0.1032266648282163
81,The 83 sma,0.1032266648282163
82,The 84 sma,0.10322666482821607
83,The 85 sma,0.10322666482821652
84,The 86 sma,0.10322666482821607
85,The 87 sma,0.1032266648282163
86,The 88 sma,0.1032266648282163
87,The 89 sma,0.10322666482821607
88,The 90 sma,0.1032266648282163
89,The 91 sma,0.10322666482821674
90,The 92 sma,0.10322666482821652
91,The 93 sma,0.10322666482821652
92,The 94 sma,0.10322666482821652
93,The 95 sma,0.1032266648282163
94,The 96 sma,0.10322666482821674
95,The 97 sma,0.1032266648282163
96,The 98 sma,0.10322666482821674
97,The 99 sma,0.10322666482821652
98,The 100 sma,0.10322666482821607
99,The 101 sma,0.10322666482821674
100,The 102 sma,0.10322666482821696
101,The 103 sma,0.10322666482821652
102,The 104 sma,0.10322666482821607
103,The 105 sma,0.1032266648282163
104,The 106 sma,0.10322666482821652
105,The 107 sma,0.1032266648282163
106,The 108 sma,0.10322666482821607
107,The 109 sma,0.10322666482821696
108,The 110 sma,0.1032266648282163
